
benefits,company,jk,job_date,job_description,job_details,job_label,job_page_url,job_title,location,qualifications,rating,salary,scrape_time,state,zipcode
,Christian Dior Couture,7fe6dcfe41b2f14c,1 day ago,"JOB PURPOSE:

The Dior Corporate Trainee participates in a program designed to identify and develop future talent for the organization across functional areas. The Events Trainee works with the Events Team in supporting the logistical planning and operational details of retail event strategies as well as assisting with market research and administrative tasks. By working closely with their assigned Department, the Trainee supports the organization’s short and long-term objectives through day to day administrative and long-term project work. Trainees across departments will collaborate to develop initiatives to improve business results, and present plans to Executive Leadership Team.

Profile
TASKS AND RESPONSIBILITIES

Support the Events Team through the phases of planning, organizing and execution of events including assistance with event briefs, evite briefs and event timelines
Assist with management of the event calendars
Support with post-event recaps, data collection and list uploads
Conduct research for upcoming events
Support with on-site event execution and pre-event prep work
Create and own the monthly competitor report, to be distributed to both local and international teams
Assist with charity initiatives, supporting in purchasing tickets and tables, liaising directly with the boutiques to confirm charity initiatives and provide required information for attendees
Administrative support for invoice processing, budget updates, scheduling and calendar updates


SKILLS AND COMPETENCIES

1-2 years of Event Planning experience
Ability to prioritize and multi-task in a highly complex work environment
Ability to take initiative and work independently at times
Ability to manage multiple projects and work assignments
Ability to maintain confidentiality and to exercise discretion and professionalism with sensitive information
Ability to deliver information in a clear, concise manner
Time sensitive, accurate and highly dependable
Excel, PowerPoint, Microsoft Word, Adobe Pro",Temporary,,http://www.indeed.com/rc/clk?jk=7fe6dcfe41b2f14c&fccid=6a2be34af774e2bb&vjs=3,Events Trainee, ,,4.2, ,2022-01-08 11:02:38.076587,,
,"JPMorgan Chase Bank, N.A.",76b24de8dd437692,Today,"As a member of the Lobby Reception Services team, you'll be expected to leave a lasting impression by delivering the highest standards of service to employees and clients entering our corporate buildings. The ideal candidate will have outstanding people skills, multi-tasking talents, and excellent organizational skills.
This position will primarily support all aspects of client and guest services across four main areas. These areas are:
Conference Center
Private Bank Client Center
Executive and Client Dining
Executive Gallery Reception
JPMorgan Chase & Co., one of the oldest financial institutions, offers innovative financial solutions to millions of consumers, small businesses and many of the world's most prominent corporate, institutional and government clients under the J.P. Morgan and Chase brands. Our history spans over 200 years and today we are a leader in investment banking, consumer and small business banking, commercial banking, financial transaction processing and asset management.
We recognize that our people are our strength and the diverse talents they bring to our global workforce are directly linked to our success. We are an equal opportunity employer and place a high value on diversity and inclusion at our company. We do not discriminate on the basis of any protected attribute, including race, religion, color, national origin, gender, sexual orientation, gender identity, gender expression, age, marital or veteran status, pregnancy or disability, or any other basis protected under applicable law. In accordance with applicable law, we make reasonable accommodations for applicants' and employees' religious practices and beliefs, as well as any mental health or physical disability needs.
The health and safety of our colleagues, candidates, clients and communities has been a top priority in light of the COVID-19 pandemic. JPMorgan Chase was awarded the ""WELL Health-Safety Rating"" for all of our 6,200 locations globally based on our operational policies, maintenance protocols, stakeholder engagement and emergency plans to address a post-COVID-19 environment.

As a part of our commitment to health and safety, we have implemented various COVID-related health and safety requirements for our workforce. These requirements may include sharing information in the firm's vaccine record tool, vaccination or regular testing, mask wearing, social distancing and daily health checks. Requirements may change in the future with the evolving public health landscape. JPMorgan Chase will consider accommodation requests.
Equal Opportunity Employer/Disability/Veterans",Full-time,,http://www.indeed.com/rc/clk?jk=76b24de8dd437692&fccid=aaf3b433897ea465&vjs=3,Executive Lobby Receptionist, ,,3.9, ,2022-01-08 11:02:41.252691,,
,Trader Joe's,9f6b2eb4f3f23ae8,2 days ago,"Is it you?
Our Crew Members create a warm and friendly shopping experience in our stores. We answer questions, offer suggestions and ensure our customers know they are welcomed and cared for. We entertain customers and make grocery shopping an exciting adventure. Some responsibilities may include:
Working on teams to accomplish goals
Operating the cash register in a fun and efficient manner
Bagging groceries with care
Stocking shelves
Creating signage to inform and delight customers
Helping customers find their favorite products
You'll learn a lot. You're not stuck doing one task here. Each Crew Member contributes to creating a WOW customer experience by participating in all aspects of the job.
If you have a passion for people and a fervor for food, we'd love to meet you. We can teach you the rest.

Trader Joe's is an equal opportunity employer and is committed to hiring a diverse Crew.", ,,http://www.indeed.com/rc/clk?jk=9f6b2eb4f3f23ae8&fccid=4c5f927329eee10e&vjs=3,Crew,"400 Grand Street, New York, NY 10002",,4.1,$17.50 - $19.00 an hour,2022-01-08 11:02:46.928683,,
,Mandarin Oriental Hotel Group,05173941eec620be,2 days ago,"Position: Guest Service Agent (Full time #527248)
Property / Office: Mandarin Oriental, New York
Location: New York, NY, United States
Major responsibilities
Greet and escort guests promptly to their rooms
Handle cash drawer properly as outlined in the MOHG Controller’s manual
Check cash float at the beginning and end of each shift to ensure at all times that amounts are correct
Demonstrate teamwork by cooperating with and assisting colleagues as needed
Address special guest preferences recorded in guest history profiles
Stay current with developments and procedures in the hotel by attending daily Front Office briefings and reviewing the Front Office communications board regularly
Provide quality service with colleagues to the guests by responding to requests promptly, efficiently and courteously during check-in, check-out and throughout the guest’s experience
Arrange fulfilment of guest services by working with the Concierge, Housekeeping, PBX, Reservations and Room Service colleagues
Handle guests incoming and outgoing correspondence, (facsimile, messages, mail, etc.)
Communicate clearly with the Night Auditor and Accounts Department
Establish a good working knowledge of the Accounting Department so as to facilitate guests and Management requests for historical data
Perform assistance to guests in both the street lobby and sky lobby
Perform any other reasonable duties as required by the Director of Front Office Operations and Front Office Manager

Advertised: 03 Jan 2022 Eastern Standard Time
Applications close:",Full-time,,http://www.indeed.com/rc/clk?jk=05173941eec620be&fccid=0b0d7dbf16a42062&vjs=3,Guest Service Agent, ,,4.1, ,2022-01-08 11:02:51.134525,,
,Michaels,7800d73dfc1facab,Today,"Store - QUEENS-WOODSIDE, NY
We're here for the Makers! Come be a part of the team where innovation and teamwork come together to support the most exciting missions in the world!
Michaels is an Equal Opportunity Employer. We are here for all Team Members and all Makers to create, innovate and be better together.
To review a comprehensive list of benefits, please visit Michaels Benefits

CT and CO only -To review pay ranges for the position you are applying for, please visit Michaels Pay Ranges â€“ CO & CT only
Help customers shop our store and be able to find what theyâ€™re looking for. Ensure all customers receive a fast and friendly checkout experience. Maintain store recovery standards to deliver our Brand Promises. Prevent shrink with friendly service.
Major Activities
Adhere to Standard Operating Procedures (SOPâ€™s) and Company programs to ensure compliance to applicable laws and requirements; execute Company policies and standards
Provide a fast and friendly check out experience
Execute cash handling to standards
Engage customers on benefits of Rewards and complete enrollments
Educate customer on Voice of Customer (VOC) survey
Participate in the truck un-load and stocking processes to ensure truck standards are followed and completed within budget
Responsible to complete merchandise recovery and maintenance to include the merchandise return / go back process
Support shrink and safety programs
Assist with Omni channel processes
Acknowledge customers, help locate product and provide solutions
Interacts with others in an accepting and respectful manner; remains positive and respectful, even in difficult situations; promotes commitment to the organizationâ€™s vision and values; projects a positive image and serves as a role model for others
Cross trained in Custom Framing selling and productionÂ
Other duties as assigned
Preferred Type of experience the job requires
Retail and/or customer service experience preferred
Physical Requirements
Ability to remain standing for long periods of time
Ability to move throughout the store
Regular bending, lifting, carrying, reaching and stretching
Lifting heavy boxes and accessing high shelves by ladder or similar equipment
If you need help performing these functions of your job, please contact supervisor so that we may engage in the interactive process with you and find a reasonable accommodation
Work Environment
Public retail store setting taking care of our customers; all public areas are climate controlled; some stock rooms may not be climate controlled; some outdoor work if assigned to retrieve shopping carts or while unloading trucks; Frame shop contains glass cutter and heat press; work hours include nights, weekends and early mornings
Applicants in the U.S. and Canada must satisfy federal, state, provincial and local legal requirements of the job.",Part-time,,http://www.indeed.com/rc/clk?jk=7800d73dfc1facab&fccid=7bec89cb1b3b9073&vjs=3,Cashier, ,,3.5, ,2022-01-08 11:02:53.913622,,
,United States Postal Service,3b2917f27e2fb41a,Today,"United States Postal Service
External Publication for Job Posting 10788025

If this job requires qualification on an examination, the number of applicants who will be invited to take or retake the

examination may be limited.

Branch

New York 3 District

Job Posting Period

01/07/2022 - 01/11/2022

This job has an exam requirement. Currently, applicants for this posting who do not yet have an exam score are being

invited to take the exam. Examining will continue until capacity has been reached.

Job Title

PSE MAIL PROCESSING CLERK

Facility Location

MIDDLETOWN PO

40 FULTON ST

MIDDLETOWN, NY 10940

CONTACT INFORMATION: Meghan Jones | meghan.d.jones@usps.gov | SUPV CUSTOMER SERVICES

Position Information

Title: PSE MAIL PROCESSING CLERK

FLSA Designation: Non-Exempt

Occupation Code: 2395-0018

Non-Scheduled Days: VARIES

Hours: VARIES

Postal Support Employees (PSE) hold temporary appointments for periods not-to-exceed 360 days. Subsequent

appointments after a 5 day break in service may be offered but are not guaranteed and should not be expected because the

use of PSEs is discretionary and subject to business needs.

PSEs can be scheduled any hours and the position is intended to be very flexible, including weekends and holidays as

needed. PSEs must be available to work when needed.

BENEFIT INFORMATION:

Non-career 360-day term with possibility of reappointment. May lead to career position. Benefits include PTO at 1 hr for every

20 hrs in pay status, holiday pay for 6 holidays, and pay raises per APWU National Agreement. Immediately eligible for

USPSHB Plan with a $125 employer premium contribution. Contribution towards greater than Self Only is 65% (75% if

reappointed). Upon a conditional reappointment to a 2nd 360-day term after a break in service of no more than 5 days,

eligible for: health insurance under FEHB with Postal premium contributions towards APWU CDHP; dental and vision

insurance through FEDVIP; flexible spending accounts through FSAFEDS and long term care insurance through FLTCIP.

Wounded Warrior leave available if eligible.
SALARY RANGE: $18.69 per hour paid bi-weekly

FINANCE NUMBER: 355295

Persons Eligible to Apply

All U.S. Citizens, lawful permanent resident aliens, citizens of American Samoa or other territory owing permanent allegiance

to the United States. Applicants entitled to veterans’ preference and/or covered by the Veterans Employment Opportunity
Act may apply for any posted position. Applicants must apply online at www.usps.com/careers to be considered for this

employment opportunity. You must have a valid email address to apply as communication regarding employment

opportunities, examinations (when applicable), and background checks will be sent by email. Please add the following email

domain addresses to your contact list to allow all correspondence to be received - @usps.gov; @jobtryout.net;

@psionline.com; @geninfo.com; @uspis.gov. EXAM: If an exam is required and you are invited to take the test, instructions

regarding the exam process will be sent to you via email. Please ensure you can receive email messages from our test

vendor and follow instructions carefully so you can be considered for this employment opportunity. SCREENINGS: You may

receive multiple requests for background checks in regards to this employment opportunity. Respond to all requests quickly

as we anticipate filling our vacancies quickly and nonresponses may result in disqualification for this opportunity.

Background Check

The Inspection Service criminal background check is conducted using United States information resources only (e.g., FBI
fingerprint check, state and county checks). A criminal background check involves a 5-year inquiry for any location where
the individual has resided, worked or gone to school within the United States or its territories. As a result of this limitation,
the criminal background checks of individuals who have not resided in the United States or its territories for the preceding
5-years may not be considered complete. The Inspection Service may be able to process inquiries for U.S. Citizens only,
but only if their time spent out of the country was spent as: a trailing spouse or dependent of someone working for the U.S.
government (military or civilian), a missionary, a student attending school in a foreign country, a Peace Corps participant, or
as an employee of a U.S.-based employer/company. If the Inspection Service is unable to perform a complete background
check because of residency outside the United States, such individuals will be ineligible for Postal employment.

Functional Purpose

Performs a variety of clerk duties required to process mail using automated mail processing equipment or manual methods of

sortation and distribution.

DUTIES AND RESPONSIBILITIES

1. Makes one or more sortations of outgoing and/or incoming mail using the appropriate sort program or manual distribution

scheme.

2. On a rotation basis, performs all of the following duties: loads mail onto automated equipment, culling out non-processable

items; enters sort plan and starts equipment; monitors flow of mail to ensure continuous feed; sweeps separated mail from

bins stackers; and stops equipment when distribution run or operation is completed. Runs machine reports, clears jams and

contacts maintenance for assistance when required.

3. Prepares work area, ensuring all necessary support equipment and materials, including labels, trays, and other

containers, are in place.

4. Removes sorted mail from bins or separations and places into appropriate trays or containers for further processing or

dispatch based on knowledge of operating plans and dispatch schedules, or at the instruction of supervisors or expediters;

may riffle or verify mail to ensure sortation accuracy as needed.

5. In addition, may perform any of the following duties: provide service at public window for non-financial transactions;

maintain records of mails; examine balances in advance deposit accounts; and record and bill mail requiring special service.

6. Follows established safe work methods, procedures and safety precautions while performing all duties.

7. Performs other duties as assigned.

PSE Mail Processing Clerks perform a variety of clerical duties in mail processing and retail/customer services to support day
to day operations.

Duties are physically demanding requiring moderate to heavy lifting, carrying, prolonged standing, walking and reaching.

PSEs may be required to handle heavy sacks of mail/parcels, sort & distribute incoming/outgoing mail, and work at a service

window selling postal products & services to customers. Applicants must be able to perform the duties of the position with or

without accommodation.

SUPERVISION

Supervisor of unit to which assigned.

The United States Postal Service has the following excellent and challenging employment opportunity for highly motivated
and innovative individuals. Successful candidates must demonstrate through a combination of education, training, and
experience the following requirements:

Requirements

1. BARGAINING UNIT QUALIFICATION STANDARD 2315_PSE (2395-0018) PSE MAIL PROCESSING CLERK

DOCUMENT DATE: March 16, 2019

FUNCTION: Performs a variety of clerk duties required to process mail using mail processing equipment or manual methods

of sortation and distribution.

DESCRIPTION OF WORK: See the Standard Position Description for the Occupation Code given above.

REQUIREMENTS: There are no separately evaluated knowledge, skill, or ability requirements for this position.

EXAMINATION REQUIREMENTS: Applicants must successfully complete the Virtual Entry Assessment – MP (476).

PHYSICAL REQUIREMENTS: Applicants must be physically able to efficiently perform the duties of the position, which

require arduous exertion involving prolonged standing, walking, bending, and reaching, and may involve the handling of

heavy containers of mail and parcels weighing up to 70 pounds

ADDITIONAL PROVISIONS: Mail Processing Clerks must work their assigned tour and days of work often within an industrial

plant environment. Mail Processing Clerks must follow Postal Service policies and procedures for personal conduct at work,

including adhering to rules and regulations.

Mail Processing Clerks at any time may be assigned to provide service to the public. They must maintain a neat and

professional appearance and demeanor in such interactions, including wearing a uniform when required.

Qualified applicants must successfully pass a pre-employment drug screening to meet the U.S. Postal Service's requirement
to be drug free. Applicants must also be a U.S. citizen or have permanent resident alien status.

IMPORTANT INFORMATION:

Applications must be submitted by 11:59 p.m., Central Time, of the posting's closing date. Applicants claiming veterans'
preference must attach a copy of member copy 4 (only) of Certificate of Release or Discharge from Active Duty (DD Form
214) or other proof of eligibility if claiming 10-point veterans' preference. The United States Postal Service (USPS) is an
equal opportunity employer. The USPS provides reasonable accommodation for any part of the application, interview, and/or
selection process, please make your request to the examiner, selecting official or local manager of Human Resources. This
request can also be made by someone on your behalf. Explain the nature of your limitations and the accommodation
needed. The decision on granting reasonable accommodation will be on a case-by-case basis.

SPECIAL NOTE: Current career Postal Service employees are ineligible to apply to this posting.", ,,http://www.indeed.com/rc/clk?jk=3b2917f27e2fb41a&fccid=e1d100e5797dc264&vjs=3,PSE MAIL PROCESSING CLERK, ,,3.4,$18.69 an hour,2022-01-08 11:02:57.340781,,
,Northwell Health,780d27b104536551,2 days ago,"Job Description
Job Description
Performs diversified clerical duties related to the operational needs of the office/department.
Job Responsibility
Performs diversified clerical duties which may include, but are not limited to: Typing various correspondence, reports, articles; Greeting and directing visitors; Answering telephones, taking messages, directing intercom pages; Scheduling appointments/meetings; Maintaining department/office files, record keeping, patient record filing; Taking meeting minutes; Collecting payments; Keeping inventory and ordering supplies for the department/office;
Performs related duties as required. All responsibilities noted here are considered essential functions of the job under the Americans with Disabilities Act. Duties not mentioned here, but considered related are not essential functions.
Job Qualification
High School Diploma or equivalent required.
1-3 years of relevant experience, required.",Full-time,,http://www.indeed.com/rc/clk?jk=780d27b104536551&fccid=6f31e2074a3d8a7b&vjs=3,Administrative Support Assistant, ,,3.9, ,2022-01-08 11:03:00.194226,,
,The Walt Disney Studios,69ea7c87503407ac,1 day ago,"It’s the magic of immersing yourself in a motion picture masterpiece, or a new track from your favorite band, or the spectacle of a live Broadway show. It’s hard to define and even harder to create, but that’s what we do at The Walt Disney Studios. Ours is a culture of innovation, collaboration and creativity. We raise the bar, then step over it, blazing trails through the production and distribution of world-class entertainment around the globe. If you want to help tell compelling, enduring stories through movies, music or stage plays, then we want to hear from you.
Imagine a career with an organization that brings smiles to millions every day. Imagine working with people whose passion for what they do is simply indescribable. We are The Walt Disney Company, live with a rich legacy of innovation, entertainment, and lifelong memories. With our vast array of both businesses and professionals, you’ll have the opportunity to join a team that’s beloved around the world, and to find out how it feels to love what you do. We invite you to discover for yourself why a career with Disney is the opportunity you‘ve been looking for.


Studio Operations is comprised of multiple disciplines related to the postproduction of our films. This includes localizing formats for global theatrical release, ensuring consistency and continuity in the voice and representation of our characters in media formats worldwide, ensuring secure delivery of films to exhibitors, retailers, and homes worldwide, converting of classic film content into digital formats, and managing of all Walt Disney Studios production and postproduction facilities (including sound stages and the Digital Studio).


The Coordinator, Training & Communications supports the implementation of crew training, onboarding, documentation of protocols and communicating these across productions globally. The Coordinator, Training & Communications will report into the Manager, Training & Documentation.
Responsibilities :

Creates, maintains and delivers various crew virtual trainings weekly.
Reconciles attendee data and reports via tracking rosters across productions for compliance training reporting.
Continuously enhances operational guides with a strong focus on communicating key changes and identifying essential information for efficient team distribution.
Standardizes design of all documentation, communications and presentations with consistent branding for Health & Safety Team as well as production teams.
Designs and writes various communications for internal and external partners, including presentations, training documents, production and internal communications.
Coordinates all stakeholders involved in crew training including facilitators and panellists and sends communication/calendaring accordingly.
Provides technical support for online training via support email, phone and zoom.
Coordinates with talent acquisition on new health and safety (H&S) team members to schedule onboarding, crew training, and other training as needed.
Escalates issues, enquires, and suggestions to Manager, Training & Documentation.

Basic Qualifications :

Experience designing/ delivering training and support via virtual technology
Experience creating and maintaining technical training documents and operating guides
Strong organizational skills including project management and attention to detail
Strong proficiency with Microsoft Office Software including Excel and PowerPoint and also Word, Outlook, virtual technology (e.g. Zoom), Keynote and cloud-based storage platforms.
Experience with design software (eg. Adobe Creative Suite) for all communications/ documentation branding
Ability to work independently while also being collaborative and effectively working with multiple levels of leadership and stakeholders
Flexible attitude and driven work ethic in an ever-changing and evolving landscape

Preferred Qualifications:

Comfortable and willing to deliver training and communication virtually via Zoom
Desire to continue development of production industry knowledge
Flexibility with schedule to connect with teams in various time zones",Full-time,,http://www.indeed.com/rc/clk?jk=69ea7c87503407ac&fccid=779381286967ed9f&vjs=3,Training & Communications Coordinator - Remote, ,,4.2, ,2022-01-08 11:03:02.848934,,
,Google,411dea805045703a,2 days ago,"Note: By applying to this position you will have an opportunity to share your preferred working location from the following: San Francisco, CA, USA; New York, NY, USA; Sunnyvale, CA, USA.
Minimum qualifications:

Bachelor's degree or equivalent practical experience.
2 years of experience in finance, insurance, or a similar field.
Preferred qualifications:

MBA, advanced degree, and/or insurance designation (e.g., CPCU, ARM, ACAS, etc.).
Experience working with and knowledge of agreements.
Ability to work in an ambiguous, changing environment, and deliver results in a designated timeframe.
Ability to work and navigate different tools/systems.
Excellent project management skills with a focus on organization, attention to detail, and prioritization.
Excellent communication skills, including working with external groups/teams.
About the job
Google's Treasury team is on a mission to optimize the return on Google's financial assets. As a member of this team, you're always looking for innovative ways to help Google invest for the future while limiting volatility and material surprises. In addition to risk busting and asset management, you work collaboratively to administer business insurance programs and stock programs, and provide financial analysis support to our internal teams. You make creative yet calculated decisions that are backed by both experience and your extensive knowledge of the economy and financial industry.

In this role, you will own processes for managing and analyzing insurance risk. You will develop process improvements and seek information on a rapidly changing risk environment. You will communicate with executive leaders, employees, and partners.
The name Google came from ""googol,"" a mathematical term for the number 1 followed by 100 zeros. And nobody at Google loves big numbers like the Finance team when providing in depth analysis on all manner of strategic decisions across Google products. From developing forward-thinking analysis to generating management reports to scaling our automated financial processes, the Finance organization is an important partner and advisor to the business.
Responsibilities
Manage data gathering/processing with assigned areas.
Perform analysis of risk exposures and data analysis while developing risk mitigation and risk management solutions.
Conduct program structure analysis and recommend improvements.
Manage vendor relationships.
Provide risk guidance on agreement language.
Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation, please let us know by completing our Accommodations for Applicants form.",Full-time,,http://www.indeed.com/rc/clk?jk=411dea805045703a&fccid=a5b4499d9e91a5c6&vjs=3,"Risk Analyst, Business Risk and Insurance", ,,4.3, ,2022-01-08 11:03:05.763759,,
,Christian Dior Couture,63093af87dfa91df,1 day ago,"Company: Christian Dior Couture
Country / Region : United States
City : New York
Business group: Fashion & Leather Goods
Contract type: Temporary Job
Function: Retail
Experience required: Beginner
Reference No.: CDC05761
Date of publication: 2022.01.06
POSITION
JOB PURPOSE

The Dior Corporate Trainee participates in a program designed to identify and develop future talent for the organization across functional areas. The Training Trainee will work with the Training department to support training and education initiatives. By working closely with their assigned Department, the Trainee supports the organization’s short and long-term objectives through day to day administrative and long-term project work. Trainees across departments will collaborate to develop initiatives to improve business results, and present plans to Executive Leadership Team.

PROFILE
TASKS AND RESPONSIBILITIES:

Support all US Regionals in administrative tasks including: master calendar creation and maintenance, department organization, and travel requests
Support the SVP of US Retail and VP of Operations with calendar management, scheduling, meeting coordination
Facilitate communications between US Regionals and boutiques
Assist in building, maintaining, and distributing regional business reports pertaining to product, sales goals, yearly targets, and recaps
Monitor and manage monthly budget for all US stores
Manage expense reports and monthly submissions through Concur
Participate in cross-functional departmental meetings to support regional initiatives through data analysis and collection
Prepare and update department presentations
Assist in special projects where applicable

REQUIREMENTS:

Available to work M-F, 9am to 6pm
Strong communication skills both verbal and written
Strong knowledge of Microsoft Office programs (ie; Excel, PowerPoint, Word)
Proficient knowledge of basic excel formulas
Ability to demonstrate tact and discretion in preparing, disclosing, and handling information of a confidential, controversial, and sensitive nature
Ability to establish and maintain good working relationships with all levels of the organization to accomplish tasks as needed",Temporary,,http://www.indeed.com/rc/clk?jk=63093af87dfa91df&fccid=6a2be34af774e2bb&vjs=3,US Retail Trainee, ,,4.2, ,2022-01-08 11:03:07.879708,,
